Date,Open,High,Low,Close,Adj Close,Volume,ADTV_2,ADTV_2_std,ADTV_5,ADTV_5_std,ADTV_10,ADTV_10_std,ADTV_20,ADTV_20_std,ADTV_50,ADTV_50_std
2010-07-01,5.0,5.184,4.054,4.392,4.392,41094000.0,41094000,41094000,41094000,41094000,41094000,41094000,41094000,41094000,41094000,41094000
2010-07-02,4.6,4.62,3.742,3.84,3.84,25699000.0,25699000,25699000,25699000,25699000,25699000,25699000,25699000,25699000,25699000,25699000
2010-07-06,4.0,4.0,3.166,3.222,3.222,34334500.0,34334500,34334500,34334500,34334500,34334500,34334500,34334500,34334500,34334500,34334500
2010-07-07,3.28,3.326,2.996,3.16,3.16,34608500.0,34608500,34608500,34608500,34608500,34608500,34608500,34608500,34608500,34608500,34608500
2010-07-08,3.228,3.504,3.114,3.492,3.492,38557000.0,38557000,38557000,38557000,38557000,38557000,38557000,38557000,38557000,38557000,38557000
2010-07-09,3.516,3.58,3.31,3.48,3.48,20253000.0,29405000,12942882,30690400,7489455,32424333,7931752,32424333,7931752,32424333,7931752
2010-07-12,3.59,3.614,3.4,3.41,3.41,11012500.0,15632750,6534020,27753100,11656916,29365500,10859211,29365500,10859211,29365500,10859211
2010-07-13,3.478,3.728,3.38,3.628,3.628,13400500.0,12206500,1688570,23566300,12435539,27369875,11529812,27369875,11529812,27369875,11529812
2010-07-14,3.588,4.03,3.552,3.968,3.968,20976000.0,17188250,5356687,20839800,10795613,26659444,10993720,26659444,10993720,26659444,10993720
2010-07-15,3.988,4.3,3.8,3.978,3.978,18699000.0,19837500,1610082,16868200,4415792,25863400,10666286,25863400,10666286,25863400,10666286
2010-07-16,4.14,4.26,4.01,4.128,4.128,13106500.0,15902750,3954494,15438900,4197496,23064650,9867816,24703681,10825299,24703681,10825299
2010-07-19,4.274,4.45,4.184,4.382,4.382,12432500.0,12769500,476589,15722900,3857397,21738000,10354103,23681083,10912480,23681083,10912480
2010-07-20,4.37,4.37,4.01,4.06,4.06,9126500.0,10779500,2337695,14868100,4847256,19217200,10009445,22561500,11200615,22561500,11200615
2010-07-21,4.132,4.18,3.9,4.044,4.044,6262500.0,7694500,2025153,11925400,4675363,16382600,9142595,21397285,11609436,21397285,11609436
2010-07-22,4.1,4.25,4.074,4.2,4.2,4789000.0,5525750,1041921,9143400,3666913,13005800,5587319,20290066,11980857,20290066,11980857
2010-07-23,4.238,4.312,4.212,4.258,4.258,3268000.0,4028500,1075509,7175700,3648285,11307300,5719528,19226187,12332111,19226187,12332111
2010-07-26,4.3,4.3,4.06,4.19,4.19,4611000.0,3939500,949644,5611400,2233188,10667150,6101663,18366470,12455554,18366470,12455554
2010-07-27,4.182,4.236,4.052,4.11,4.11,3098500.0,3854750,1069499,4405800,1288400,9636950,6448710,17518250,12608152,17518250,12608152
2010-07-28,4.11,4.18,4.102,4.144,4.144,2336000.0,2717250,539168,3620500,1047993,7772950,5418667,16719184,12738356,16719184,12738356
2010-07-29,4.154,4.176,4.0,4.07,4.07,3080000.0,2708000,526087,3278700,827008,6211050,3979217,16037225,12768194,16037225,12768194
2010-07-30,4.04,4.088,3.91,3.988,3.988,2134500.0,2607250,668569,3052000,973125,5113850,3325659,14089250,11668807,15375190,12809353
2010-08-02,4.1,4.194,4.066,4.184,4.184,3590500.0,2862500,1029547,2847900,599813,4229650,2120795,12983825,11557769,14839522,12750642
2010-08-03,4.2,4.39,4.164,4.39,4.39,6152500.0,4871500,1811607,3458700,1614876,3932250,1464912,11574725,10485988,14461826,12588486
2010-08-04,4.39,4.436,4.17,4.252,4.252,4565000.0,5358750,1122532,3904500,1533057,3762500,1247034,10072550,9068783,14049458,12476423
2010-08-05,4.308,4.31,4.01,4.09,4.09,3981000.0,4273000,412950,4084700,1463279,3681700,1198360,8343750,6192448,13646720,12378619
2010-08-06,4.02,4.032,3.904,3.918,3.918,3709500.0,3845250,191979,4399700,1049538,3725850,1189526,7516575,5593905,13264519,12284095
2010-08-09,3.98,3.996,3.89,3.92,3.92,4063500.0,3886500,250315,4494300,977190,3671100,1156397,7169125,5581131,12923740,12175003
2010-08-10,3.93,3.93,3.764,3.806,3.806,6406500.0,5235000,1656751,4545100,1085539,4001900,1417962,6819425,5385835,12690982,12010729
2010-08-11,3.738,3.776,3.57,3.58,3.58,3988000.0,5197250,1710137,4429700,1113211,4167100,1293041,5970025,4256982,12390879,11904510
2010-08-12,3.56,3.58,3.478,3.52,3.52,3455000.0,3721500,376887,4324500,1188521,4204600,1263102,5207825,3052139,12093016,11810682
2010-08-13,3.636,3.69,3.532,3.664,3.664,3170000.0,3312500,201525,4216600,1279332,4308150,1107384,4711000,2447582,11805177,11722238
2010-08-16,3.69,3.76,3.652,3.756,3.756,2429000.0,2799500,523966,3889700,1515298,4192000,1243560,4210825,1692165,11512171,11650130
2010-08-17,3.792,3.88,3.756,3.83,3.83,2239500.0,2334250,133996,3056300,724676,3800700,1171680,3866475,1292809,11231181,11579708
2010-08-18,3.918,3.918,3.72,3.754,3.754,3006500.0,2623000,542350,2860000,510482,3644850,1162335,3703675,1174830,10989279,11489816
2010-08-20,3.73,3.822,3.702,3.82,3.82,1480000.0,2243250,1079398,2465000,673167,3394750,1337796,3538225,1244855,10717585,11433139
2010-08-23,3.818,4.078,3.8,4.026,4.026,5440500.0,3460250,2800496,2919100,1511469,3567850,1486744,3646850,1312956,10571000,11302896
2010-08-24,3.85,3.942,3.79,3.84,3.84,3365500.0,4403000,1467246,3106400,1493471,3498050,1477243,3584575,1294223,10376256,11207583
2010-08-25,3.832,3.996,3.712,3.98,3.98,2516500.0,2941000,600333,3161800,1457990,3109050,1086860,3555475,1312146,10169421,11128375
2010-08-26,3.978,4.054,3.92,3.95,3.95,2169000.0,2342750,245719,2994300,1526777,2927150,1075570,3547125,1320818,9964282,11055449
2010-08-27,3.95,3.974,3.9,3.94,3.94,1898000.0,2033500,191625,3077900,1431609,2771450,1103014,3488025,1368406,9762625,10987068
2010-08-30,3.94,4.038,3.922,3.974,3.974,3664000.0,2781000,1248750,2722600,762966,2820850,1133488,3564500,1331010,9613878,10890589
2010-08-31,3.932,3.958,3.866,3.896,3.896,1005500.0,2334750,1879843,2250600,968202,2678500,1269403,3435250,1448662,9408916,10838658
2010-09-02,4.074,4.248,4.062,4.212,4.212,2435500.0,1720500,1011162,2234400,963306,2698100,1263371,3249400,1313875,9246744,10761521
2010-09-03,4.174,4.26,4.132,4.21,4.21,2173000.0,2304250,185615,2235200,963239,2614750,1268249,3129800,1296571,9085977,10688980
2010-09-07,4.122,4.2,4.1,4.108,4.108,1217000.0,1695000,675994,2099000,1065551,2588450,1296801,2991600,1347378,8911111,10631728
2010-09-08,4.132,4.19,4.12,4.18,4.18,1442000.0,1329500,159099,1654600,619791,2188600,863879,2878225,1378823,8748739,10570456
2010-09-09,4.2,4.21,4.138,4.142,4.142,1881000.0,1661500,310419,1829700,503287,2040150,760536,2769100,1366388,8602617,10502812
2010-09-10,4.15,4.186,3.952,4.034,4.034,1933000.0,1907000,36769,1729200,389348,1981800,742089,2545425,1074614,8463666,10434980
2010-09-13,4.178,4.18,4.1,4.144,4.144,1804000.0,1868500,91216,1655400,311357,1945300,740834,2436225,1030363,8327755,10369446
2010-09-15,4.196,4.4,4.158,4.396,4.396,3423000.0,2613500,1144805,2096600,765947,2097800,874853,2434625,1028721,8229660,10286503
2010-09-16,4.43,4.632,4.168,4.188,4.188,13422500.0,8422750,7070714,4492700,5037056,3073650,3699269,2947250,2666004,7676230,9165577
2010-09-17,4.204,4.264,3.96,4.046,4.046,5992500.0,9707500,5253803,5315000,4835681,3572350,3725538,3125425,2747382,7282100,8790800
2010-09-20,4.134,4.27,4.032,4.212,4.212,4737500.0,5365000,887419,5875900,4496048,3802550,3718601,3250325,2761730,6690160,7881460
2010-09-21,4.178,4.31,4.134,4.154,4.154,3980000.0,4358750,535633,6311100,4090381,3983250,3674257,3299000,2765783,6077590,6780678
2010-09-23,3.978,4.028,3.9,3.912,3.912,3340500.0,3660250,452194,6294600,4105084,4195600,3556083,3392025,2732470,5373260,4908713
2010-09-27,4.08,4.162,4.01,4.106,4.106,2093000.0,2716750,882115,4028700,1464738,4260700,3505674,3224650,2702751,5010060,4434179
2010-09-28,4.208,4.298,4.152,4.28,4.28,6072500.0,4082750,2813931,4044700,1491740,4679850,3439486,3360000,2776939,4911260,4351980
2010-09-29,4.238,4.406,4.226,4.396,4.396,9846500.0,7959500,2668620,5066500,3035691,5471200,3641692,3726500,3122019,4840180,4238029
2010-09-30,4.4,4.43,4.038,4.082,4.082,10979000.0,10412750,800798,6466300,3900053,6388700,3768683,4167000,3490478,4640240,3657269
2010-10-01,4.138,4.15,4.062,4.12,4.12,2988500.0,6983750,5650136,6395900,3973076,6345250,3808964,4221525,3461566,4326030,3049083
2010-10-04,4.086,4.234,4.06,4.198,4.198,3218000.0,3103250,162281,6620900,3690268,5324800,2978681,4199225,3466779,4128260,2776446
2010-10-05,4.23,4.256,4.202,4.224,4.224,1660000.0,2439000,1101672,5738400,4326895,4891550,3179112,4231950,3438014,3912810,2525522
2010-10-06,4.212,4.252,4.064,4.092,4.092,1567000.0,1613500,65760,4082500,3927535,4574500,3349701,4188525,3467260,3761620,2431562
2010-10-07,4.114,4.128,4.068,4.086,4.086,705000.0,1136000,609526,2027700,1053201,4247000,3567313,4115125,3527194,3650470,2441909
2010-10-08,4.086,4.158,4.078,4.086,4.086,1339000.0,1022000,448305,1697800,927892,4046850,3678249,4121225,3522019,3581470,2457772
2010-10-11,4.088,4.14,4.014,4.048,4.048,856000.0,1097500,341532,1225400,425953,3923150,3770891,4091925,3547824,3533230,2487541
2010-10-12,4.04,4.056,4.006,4.048,4.048,1220000.0,1038000,257386,1137400,352908,3437900,3775789,4058875,3572497,3465410,2503730
2010-10-13,4.128,4.17,4.072,4.108,4.108,1591000.0,1405500,262336,1142200,360298,2612350,3052045,4041775,3584008,3435260,2517279
