date,open,high,low,close,adj_close,volume,ADTV_2,ADTV_2_std,ADTV_5,ADTV_5_std,ADTV_10,ADTV_10_std,ADTV_20,ADTV_20_std,ADTV_50,ADTV_50_std
2010-07-01,5.0,5.184,4.054,4.392,4.392,41094000.0,41094000.0,41094000.0,41094000.0,41094000.0,41094000.0,41094000.0,41094000.0,41094000.0,41094000.0,41094000.0
2010-07-02,4.6,4.62,3.742,3.84,3.84,25699000.0,25699000.0,25699000.0,25699000.0,25699000.0,25699000.0,25699000.0,25699000.0,25699000.0,25699000.0,25699000.0
2010-07-06,4.0,4.0,3.166,3.222,3.222,34334500.0,30016800.0,6106220.0,34334500.0,34334500.0,34334500.0,34334500.0,34334500.0,34334500.0,34334500.0,34334500.0
2010-07-07,3.28,3.326,2.996,3.16,3.16,34608500.0,34471500.0,193747.0,34608500.0,34608500.0,34608500.0,34608500.0,34608500.0,34608500.0,34608500.0,34608500.0
2010-07-08,3.228,3.504,3.114,3.492,3.492,38557000.0,36582800.0,2792010.0,38557000.0,38557000.0,38557000.0,38557000.0,38557000.0,38557000.0,38557000.0,38557000.0
2010-07-09,3.516,3.58,3.31,3.48,3.48,20253000.0,29405000.0,12942900.0,30690400.0,7489460.0,20253000.0,20253000.0,20253000.0,20253000.0,20253000.0,20253000.0
2010-07-12,3.59,3.614,3.4,3.41,3.41,11012500.0,15632800.0,6534020.0,27753100.0,11656900.0,11012500.0,11012500.0,11012500.0,11012500.0,11012500.0,11012500.0
2010-07-13,3.478,3.728,3.38,3.628,3.628,13400500.0,12206500.0,1688570.0,23566300.0,12435500.0,13400500.0,13400500.0,13400500.0,13400500.0,13400500.0,13400500.0
2010-07-14,3.588,4.03,3.552,3.968,3.968,20976000.0,17188200.0,5356690.0,20839800.0,10795600.0,20976000.0,20976000.0,20976000.0,20976000.0,20976000.0,20976000.0
2010-07-15,3.988,4.3,3.8,3.978,3.978,18699000.0,19837500.0,1610080.0,16868200.0,4415790.0,18699000.0,18699000.0,18699000.0,18699000.0,18699000.0,18699000.0
2010-07-16,4.14,4.26,4.01,4.128,4.128,13106500.0,15902800.0,3954490.0,15438900.0,4197500.0,23064600.0,9867820.0,13106500.0,13106500.0,13106500.0,13106500.0
2010-07-19,4.274,4.45,4.184,4.382,4.382,12432500.0,12769500.0,476589.0,15722900.0,3857400.0,21738000.0,10354100.0,12432500.0,12432500.0,12432500.0,12432500.0
2010-07-20,4.37,4.37,4.01,4.06,4.06,9126500.0,10779500.0,2337700.0,14868100.0,4847260.0,19217200.0,10009400.0,9126500.0,9126500.0,9126500.0,9126500.0
